accommodates,bathrooms,bedrooms,beds,number_of_reviews,review_scores_rating,host_is_superhost,has_license,has_description,has_review,minimum_nights_scaled,is_instant_bookable,is_bathroom_shared,room_type_Hotel room,room_type_Private room,room_type_Shared room,neighbourhood_group_cleansed_Honolulu,neighbourhood_group_cleansed_Kauai,neighbourhood_group_cleansed_Maui,maximum_nights_scaled,neighbourhood_group_1,neighbourhood_group_2,neighbourhood_group_3
2.0,1.0,1.0,1.0,40.0,4.78,1,1,1,1,-0.19106685050251432,0,0,0,0,0,0,0,0,1.245656676506034,0,1,0
2.0,1.0,0.0,2.0,231.0,4.67,0,1,1,1,-0.11831487136931705,1,0,0,0,0,0,0,0,-1.1007645179259784,0,0,1
2.0,1.0,1.0,1.0,0.0,4.726666666666667,0,0,1,0,-0.22744284006911297,0,1,0,1,0,0,0,0,-1.1007645179259784,1,0,0
4.0,1.1275843386195774,1.0,1.0,128.0,4.65,0,1,1,1,-0.2638188296357116,0,0,0,0,0,0,0,0,1.245656676506034,1,0,0
4.0,2.0,1.0,2.0,92.0,4.7,0,1,1,1,-0.1546908609359157,0,0,0,0,0,0,0,1,-0.4287847392388763,0,1,0
2.0,1.0,0.0,1.0,183.0,4.5,1,1,1,1,-0.19106685050251432,1,0,0,0,0,0,1,0,1.245656676506034,0,1,0
9.0,1.0,2.0,3.0,36.0,4.83,1,1,1,1,0.7910848677956488,0,0,0,0,0,1,0,0,1.245656676506034,0,0,1
4.0,1.0,1.0,2.0,18.0,4.56,1,1,1,1,-0.22744284006911297,0,0,0,0,0,0,0,1,-0.4287847392388763,0,1,0
2.0,1.0,1.0,1.0,37.0,4.45,0,0,0,1,0.7910848677956488,0,0,0,0,0,1,0,0,-0.4287847392388763,0,1,0
2.0,1.0,1.0,1.0,82.0,4.99,1,1,1,1,-0.2638188296357116,0,1,0,1,0,0,0,0,0.44148415447064937,0,0,1
8.0,1.0,1.0,3.0,369.0,4.62,0,0,1,1,0.7910848677956488,1,0,0,1,0,1,0,0,0.44148415447064937,0,0,1
2.0,1.0,1.0,1.0,162.0,4.72,0,1,1,1,-0.045562892236119784,0,0,0,0,0,0,0,0,-0.9685717745776959,0,1,0
4.0,1.0,1.0,2.0,481.0,4.97,1,1,1,1,-0.19106685050251432,0,0,0,0,0,0,0,0,-0.4287847392388763,1,0,0
4.0,2.0,3.0,4.0,103.0,4.77,0,1,1,1,-0.2638188296357116,1,0,0,0,0,0,1,0,-0.4287847392388763,0,0,0
4.0,1.0,1.0,3.0,148.0,4.62,0,1,1,1,-0.22744284006911297,0,0,0,0,0,1,0,0,1.245656676506034,0,1,0
5.0,2.0,2.0,2.0,264.0,4.75,1,1,1,1,-0.2638188296357116,0,0,0,0,0,0,0,1,-0.4287847392388763,0,1,0
